roadID,node1,node2,node1_Xcoord,node1_Ycoord,node2_Xcoord,node2_Ycoord,DN_mean,length,isHealthcare1,isHealthcare2
1,4,63240,21.211301,92.168111,21.210791,92.168132,7.5,56.477,False,False
2,4,64096,21.211301,92.168111,21.212025,92.168015,7.333333,80.844,False,True
3,12,64096,21.21268,92.167874,21.212025,92.168015,6.333333,74.034,False,True
4,12,54377,21.21268,92.167874,21.212901,92.167876,6.5,24.459,False,False
5,25,54377,21.21359,92.167628,21.212901,92.167876,7.0,82.902,False,False
6,25,28,21.21359,92.167628,21.213685,92.167545,7.0,13.533,False,False
7,28,29,21.213685,92.167545,21.214089,92.167132,6.5,62.041,False,False
8,29,31,21.214089,92.167132,21.214141,92.167095,6.0,6.962,False,False
9,31,41,21.214141,92.167095,21.214336,92.166624,6.5,53.769,False,False
10,41,45,21.214336,92.166624,21.214439,92.166342,7.0,31.469,False,False
11,45,48,21.214439,92.166342,21.214559,92.16603,6.5,35.011,False,False
12,48,53,21.214559,92.16603,21.21459,92.165948,6.0,9.113,False,False
13,53,56,21.21459,92.165948,21.214977,92.165131,6.5,95.066,False,False
14,56,61,21.214977,92.165131,21.21508,92.164879,7.5,28.588,False,False
15,61,65,21.21508,92.164879,21.215331,92.164112,7.0,84.353,False,False
16,399,65,21.215522,92.163716,21.215331,92.164112,6.0,46.49,False,False
17,399,72,21.215522,92.163716,21.216002,92.163115,6.333333,81.94,False,False
18,72,77,21.216002,92.163115,21.216383,92.162796,6.5,55.275,False,False
19,77,81,21.216383,92.162796,21.216474,92.162755,7.0,10.862,False,False
20,81,84,21.216474,92.162755,21.217507,92.162333,6.5,122.496,False,False
21,46405,84,21.218165,92.161976,21.217507,92.162333,6.0,81.961,False,False
22,46405,51032,21.218165,92.161976,21.218906,92.161513,6.5,98.539,False,False
23,51032,51039,21.218906,92.161513,21.219889,92.16191,6.0,116.522,False,False
24,46413,51039,21.220205,92.162034,21.219889,92.16191,6.0,37.249,False,False
25,46413,48735,21.220205,92.162034,21.220561,92.162168,6.0,41.79,False,False
26,108,48735,21.220706,92.162198,21.220561,92.162168,6.5,16.383,False,False
27,108,48219,21.220706,92.162198,21.220887,92.162214,7.0,20.087,False,False
28,48219,516,21.220887,92.162214,21.222215,92.162224,7.0,147.558,False,False
29,493,516,21.224103,92.16155,21.222215,92.162224,6.0,223.707,False,False
31,121,123,21.179033,92.154979,21.177642,92.154213,6.666667,197.752,False,False
32,127,580,21.189742,92.166712,21.189519,92.167562,6.5,94.587,False,False
33,580,581,21.189519,92.167562,21.189123,92.167773,6.666667,49.135,False,False
34,140,581,21.189006,92.16863,21.189123,92.167773,6.5,97.942,False,False
35,140,145,21.189006,92.16863,21.188225,92.16867,6.5,86.673,False,False
36,145,584,21.188225,92.16867,21.187772,92.168587,7.5,50.944,False,False
37,152,584,21.186765,92.168233,21.187772,92.168587,6.5,119.043,False,False
38,152,156,21.186765,92.168233,21.185676,92.167722,6.0,133.283,False,False
39,156,157,21.185676,92.167722,21.185451,92.167739,6.5,25.172,False,False
40,157,159,21.185451,92.167739,21.184538,92.168051,6.0,107.933,False,False
41,159,168,21.184538,92.168051,21.182711,92.16829,6.5,211.361,False,False
42,167,168,21.181299,92.167728,21.182711,92.16829,6.0,174.276,False,False
43,199,31,21.216054,92.167744,21.214141,92.167095,6.0,227.779,False,False
45,108,181,21.220706,92.162198,21.219607,92.164532,6.4,279.092,False,False
46,181,185,21.219607,92.164532,21.21947,92.165007,6.0,52.122,False,False
47,185,190,21.21947,92.165007,21.218888,92.165329,6.333333,76.329,False,False
48,190,192,21.218888,92.165329,21.218147,92.165476,6.0,85.944,False,False
49,192,51035,21.218147,92.165476,21.218831,92.163378,7.5,238.221,False,False
50,192,220,21.218147,92.165476,21.217867,92.166582,6.5,124.322,False,False
51,199,204,21.216054,92.167744,21.215868,92.168793,6.0,113.002,False,False
52,204,209,21.215868,92.168793,21.21579,92.168925,6.0,16.204,False,False
53,209,3483,21.21579,92.168925,21.214847,92.170532,6.5,205.034,False,False
56,217,221,21.220191,92.166336,21.218757,92.16636,6.0,158.871,False,False
57,220,221,21.217867,92.166582,21.218757,92.16636,6.0,103.175,False,False
59,228,229,21.216535,92.164194,21.216712,92.164155,6.0,20.134,False,False
60,229,236,21.216712,92.164155,21.217488,92.16329,6.0,151.061,False,False
61,236,84,21.217488,92.16329,21.217507,92.162333,6.0,122.613,False,False
62,239,51545,21.215437,92.161278,21.215382,92.160624,6.5,71.697,False,False
63,249,51545,21.215967,92.160076,21.215382,92.160624,6.5,86.215,False,False
64,248,249,21.216563,92.15897,21.215967,92.160076,6.5,136.389,False,False
65,248,45901,21.216563,92.15897,21.21657,92.158953,6.0,136.389,False,False
66,45901,64096,21.21657,92.158953,21.21654,92.158946,6.0,130.714,False,True
67,262,64096,21.217473,92.158389,21.21654,92.158946,7.0,130.714,False,True
68,261,262,21.218183,92.157835,21.217473,92.158389,8.0,98.615,False,False
69,2749,51127,21.220056,92.143449,21.219596,92.143793,6.0,62.482,False,False
70,2749,47151,21.220056,92.143449,21.220821,92.141856,6.5,210.905,False,False
72,276,280,21.213419,92.160342,21.213112,92.160316,8.0,34.088,False,False
73,280,64096,21.213112,92.160316,21.212477,92.160357,7.0,103.743,False,True
74,284,64096,21.212198,92.160282,21.212477,92.160357,6.0,103.743,False,True
75,284,64096,21.212198,92.160282,21.211983,92.160248,6.5,77.218,False,True
76,292,64096,21.211507,92.160193,21.211983,92.160248,6.666667,77.218,False,True
77,292,296,21.211507,92.160193,21.211209,92.159958,7.0,42.325,False,False
78,296,64096,21.211209,92.159958,21.211147,92.159656,6.5,61.685,False,True
79,52565,64096,21.211176,92.159374,21.211147,92.159656,6.0,61.685,False,True
80,301,305,21.208923,92.166566,21.208992,92.166498,6.0,10.351,False,False
81,305,309,21.208992,92.166498,21.209577,92.166032,6.5,81.564,False,False
82,309,314,21.209577,92.166032,21.210454,92.165819,6.5,99.522,False,False
83,313,314,21.210615,92.165848,21.210454,92.165819,6.0,18.14,False,False
84,321,49225,21.212697,92.165104,21.212667,92.165013,6.5,9.944,False,False
85,321,324,21.212697,92.165104,21.212625,92.165606,6.5,62.991,False,False
86,324,325,21.212625,92.165606,21.212663,92.165889,6.0,29.715,False,False
87,329,332,21.209389,92.162104,21.208964,92.162197,6.5,48.043,False,False
88,332,336,21.208964,92.162197,21.208867,92.162217,7.0,10.915,False,False
89,336,340,21.208867,92.162217,21.208711,92.162249,7.0,17.647,False,False
90,340,344,21.208711,92.162249,21.208494,92.162335,6.5,25.787,False,False
91,344,349,21.208494,92.162335,21.208375,92.162459,6.0,18.436,False,False
92,349,351,21.208375,92.162459,21.208146,92.162662,6.5,33.042,False,False
93,353,357,21.210009,92.161795,21.209577,92.161897,6.0,49.228,False,False
94,329,357,21.209389,92.162104,21.209577,92.161897,6.0,30.202,False,False
95,363,368,21.209075,92.161488,21.209032,92.161541,6.0,7.236,False,False
96,329,368,21.209389,92.162104,21.209032,92.161541,6.0,74.155,False,False
97,372,376,21.210015,92.16068,21.21,92.160875,6.0,20.336,False,False
98,376,381,21.21,92.160875,21.210392,92.161275,6.0,61.047,False,False
99,380,381,21.210342,92.161369,21.210392,92.161275,6.0,11.217,False,False
100,380,388,21.210342,92.161369,21.210305,92.16144,6.0,8.464,False,False
101,388,392,21.210305,92.16144,21.210112,92.161674,6.5,32.334,False,False
102,392,64096,21.210112,92.161674,21.210045,92.161753,7.0,16.974,False,True
103,353,64096,21.210009,92.161795,21.210045,92.161753,6.5,16.974,False,True
104,399,52420,21.215522,92.163716,21.215221,92.163541,6.0,37.872,False,False
105,408,52420,21.215189,92.163522,21.215221,92.163541,6.0,4.09,False,False
106,408,50729,21.215189,92.163522,21.214906,92.162672,7.0,98.038,False,False
107,412,50729,21.214902,92.16251,21.214906,92.162672,7.0,16.773,False,False
108,412,46460,21.214902,92.16251,21.213991,92.161816,6.0,138.132,False,False
109,425,46460,21.213913,92.161608,21.213991,92.161816,6.5,23.214,False,False
110,425,428,21.213913,92.161608,21.213941,92.16115,7.0,47.713,False,False
111,428,432,21.213941,92.16115,21.213985,92.160972,8.0,19.018,False,False
112,432,52436,21.213985,92.160972,21.214261,92.160689,7.0,42.571,False,False
113,51539,52436,21.214615,92.160245,21.214261,92.160689,6.0,66.028,False,False
114,444,51539,21.214623,92.160035,21.214615,92.160245,6.5,21.897,False,False
115,444,45689,21.214623,92.160035,21.214702,92.159847,7.0,21.634,False,False
116,453,45689,21.214749,92.159709,21.214702,92.159847,7.0,15.227,False,False
117,453,456,21.214749,92.159709,21.214802,92.159499,6.5,22.58,False,False
118,456,45699,21.214802,92.159499,21.214836,92.159347,7.0,16.219,False,False
119,45693,45699,21.214864,92.158952,21.214836,92.159347,6.5,41.192,False,False
120,45693,468,21.214864,92.158952,21.214811,92.15885,6.0,13.161,False,False
121,468,473,21.214811,92.15885,21.214693,92.158753,7.0,16.519,False,False
122,473,477,21.214693,92.158753,21.214509,92.158339,7.0,59.387,False,False
