fid,fclass,maxspeed,length,combined_id_min,combined_id_max,DN_mean
"1",trunk,"10","56.4771684920056","4","63240","8"
"2",trunk,"10","80.8439655029449","4",CXB-203_A015 _03,"8"
"3",trunk,"10","74.0342143749055","12",CXB-203_A015 _03,"7"
"4",trunk,"10","24.4589764859059","12","54377","7"
"5",trunk,"10","82.9021014573456","25","54377","7"
"6",trunk,"10","13.5329984737138","25","28","7"
"7",trunk,"10","62.0408431139795","28","29","7"
"8",trunk,"10","6.96169309159056","29","31","7"
"9",trunk,"10","53.7693021133813","31","41","6.666667"
"10",trunk,"10","31.4691497135831","41","45","7"
"11",trunk,"10","35.0113726578211","45","48","6.5"
"12",trunk,"10","9.11313743902357","48","53","6"
"13",trunk,"10","95.0656035500846","53","56","6.333333"
"14",trunk,"10","28.5878506516579","56","61","7.5"
"15",trunk,"10","84.3525751154154","61","65","7"
"16",trunk,"10","46.4896657807778","399","65","6"
"17",trunk,"10","81.9402616696067","399","72","6.333333"
"18",trunk,"10","55.2749649448222","72","77","6.333333"
"19",trunk,"10","10.862344072129","77","81","6.5"
"20",trunk,"10","122.495781870243","81","84","6.5"
"21",trunk,"10","81.9607318998175","46405","84","6"
"22",trunk,"10","98.5394576951339","46405","51032","6.5"
"23",trunk,"10","116.522472675854","51032","51039","6"
"24",trunk,"10","37.2491241192916","46413","51039","6"
"25",trunk,"10","41.7899779068132","46413","48735","6"
"26",trunk,"10","16.3833870280868","108","48735","6.5"
"27",trunk,"10","20.0869573981112","108","48219","7.5"
"28",trunk,"10","147.558464987994","48219","516","7"
"29",trunk,"10","223.707228721168","493","516","6.5"
"31",path,"10","197.751743512317","121","123","7"
"32",unclassified,"10","94.5866661865454","127","580","6.5"
"33",unclassified,"10","49.1347648061872","580","581","7"
"34",unclassified,"10","97.941824248216","140","581","6.5"
"35",unclassified,"10","86.6733305729799","140","145","7"
"36",unclassified,"10","50.9435057510104","145","584","7.5"
"37",unclassified,"10","119.043384243203","152","584","7.5"
"38",unclassified,"10","133.283445023619","152","156","6.5"
"39",unclassified,"10","25.1717497552641","156","157","6.5"
"40",unclassified,"10","107.932646718088","157","159","6.5"
"41",unclassified,"10","211.360810253471","159","168","6.666667"
"42",unclassified,"10","174.276190170496","167","168","6.5"
"43",unclassified,"10","227.778549143539","199","31","6.333333"
"45",path,"10","279.092395483549","108","181","6.4"
"46",path,"10","52.1215870278369","181","185","6.5"
"47",path,"10","76.3287249832547","185","190","7"
"48",path,"10","85.9441458356534","190","192","7"
"49",path,"10","238.221321852727","192","51035","8"
"50",path,"10","124.32224908071","192","220","6.5"
"51",residential,"10","113.00166932921","199","204","6.5"
"52",residential,"10","16.2042444423115","204","209","6"
"53",residential,"10","205.033836913922","209","3483","6.333333"
"56",unclassified,"10","158.871254712606","217","221","7"
"57",unclassified,"10","103.175166671601","220","221","6.5"
"59",path,"10","20.1340683692828","228","229","6"
"60",path,"10","151.061493437894","229","236","6"
"61",path,"10","122.612579759417","236","84","6.5"
"62",path,"10","71.6973295626884","239","51545","6.5"
"63",path,"10","86.2149947663835","249","51545","7"
"64",path,"10","136.388850876951","248","249","6.5"
"65",path,"10","136.388850876951","248","45901","6"
"66",path,"10","130.713812072937","45901",CXB-201_E005 _04,"6"
"67",path,"10","130.713812072937","262",CXB-201_E005 _04,"7"
"68",path,"10","98.6145814398288","261","262","7.8"
"69",tertiary,"10","62.4816070013132","2749","51127","6"
"70",tertiary,"10","210.90467108171","2749","47151","6.333333"
"72",unclassified,"10","34.0882447406688","276","280","7"
"73",unclassified,"10","103.742996472494","280",CXB-201_G007 _01,"6.666667"
"74",unclassified,"10","103.742996472494","284",CXB-201_G007 _01,"7"
"75",unclassified,"10","77.2178226298537","284",CXB-201_G007 _02,"7"
"76",unclassified,"10","77.2178226298537","292",CXB-201_G007 _02,"7"
"77",unclassified,"10","42.3248478970898","292","296","7"
"78",unclassified,"10","61.6847763705121","296",HF_255,"6.5"
"79",unclassified,"10","61.6847763705121","52565",HF_255,"6.5"
"80",path,"10","10.3509080306537","301","305","7"
"81",path,"10","81.5640407890636","305","309","6.666667"
"82",path,"10","99.5221732664103","309","314","6.5"
"83",path,"10","18.1404472027974","313","314","6"
"84",path,"10","9.94381904609172","321","49225","6.5"
"85",path,"10","62.9906600722173","321","324","7"
"86",path,"10","29.7147820912318","324","325","7"
"87",path,"10","48.0426127961179","329","332","6.5"
"88",path,"10","10.9150052850917","332","336","7"
"89",path,"10","17.6472073361892","336","340","7"
"90",path,"10","25.7870925350218","340","344","7"
"91",path,"10","18.435879439966","344","349","6.5"
"92",path,"10","33.041595037735","349","351","6.5"
"93",path,"10","49.2280137043692","353","357","6.5"
"94",path,"10","30.2023429232611","329","357","6.5"
"95",path,"10","7.23625354253797","363","368","6.5"
"96",path,"10","74.1548533223843","329","368","6.5"
"97",path,"10","20.3362544789466","372","376","6"
"98",path,"10","61.0466920698409","376","381","6.5"
"99",path,"10","11.2165743024354","380","381","7"
"100",path,"10","8.4640130883636","380","388","7"
"101",path,"10","32.333944205771","388","392","6.5"
"102",path,"10","16.9744279720637","392",CXB-204_A020 _07,"7"
"103",path,"10","16.9744279720637","353",CXB-204_A020 _07,"7"
"104",residential,"10","37.8716515626761","399","52420","6"
"105",residential,"10","4.0896780628608","408","52420","6"
"106",residential,"10","98.0378131648674","408","50729","7"
"107",residential,"10","16.7732115255766","412","50729","7.5"
"108",residential,"10","138.13219853331","412","46460","6.666667"
"109",residential,"10","23.2138379832732","425","46460","7"
"110",residential,"10","47.7132596178089","425","428","7.5"
"111",residential,"10","19.0183977210652","428","432","8"
"112",residential,"10","42.5710796157431","432","52436","7.5"
"113",residential,"10","66.0280113852509","51539","52436","6.5"
"114",residential,"10","21.8966882266457","444","51539","6.5"
"115",residential,"10","21.6340573183189","444","45689","7"
"116",residential,"10","15.2273450561124","453","45689","6.5"
"117",residential,"10","22.5797215401589","453","456","6.5"
"118",residential,"10","16.2186274767094","456","45699","7"
"119",residential,"10","41.192159332418","45693","45699","6.5"
"120",residential,"10","13.1606887018345","45693","468","6"
"121",residential,"10","16.5193785126948","468","473","7"
"122",residential,"10","59.3868400653891","473","477","7.5"
"123",residential,"10","28.8584035001303","476","477","7"
"124",residential,"10","30.5023538928395","476","479","6.5"
"125",residential,"10","48.5826842630666","479","488","7"
"126",residential,"10","155.922915810753","488",CXB-201_D004 _04,"6.5"
"127",residential,"10","155.922915810753","2553",CXB-201_D004 _04,"6"
"134",residential,"10","232.863183559525","48732","516","6.5"
"135",residential,"10","228.634596792403","48732","521","7"
"136",path,"10","121.776284497941","525",CXB-201_C003 _01,"6.5"
"137",path,"10","121.776284497941","527",CXB-201_C003 _01,"6"
"138",path,"10","10.7653219154304","2572","532","8"
"139",path,"10","89.1558316630516","532","536","7"
"140",path,"10","3.87632056789958","536","540","6"
"141",path,"10","134.203316353439","540","541","6.5"
"142",path,"10","8.78848293486539","541","548","7"
"143",path,"10","51.1466801138353","46041","548","7"
"144",path,"10","52.8150687694628","46041","553","6.5"
"145",unclassified,"10","197.62201181835","560","63162","6"
"150",unclassified,"10","89.921986062099","571","572","6"
"157",path,"10","130.270000247015","3049","592","6.5"
"158",path,"10","185.372323494246","592","596","6"
"159",path,"10","34.3753338824295","596","600","6.5"
"160",path,"10","31.7269644789042","600","605","7"
"161",path,"10","74.955162124047","604","605","6.5"
"164",path,"10","9.10578911520233","613","617","6"
"165",path,"10","61.2897769517462","617","622","6"
"166",path,"10","81.3377848402672","622","629","6"
"169",path,"10","151.179318803207","633","637","6.666667"
"181",path,"10","1.01996005783732","676","677","7"
"182",path,"10","81.3700590852714","677",CXB-207_D050 _04,"7"
"183",path,"10","81.3700590852714","681",CXB-207_D050 _04,"7"
"184",path,"10","111.251774197053","681","688","7"
"185",path,"10","25.8366471232153","54665","688","7"
"186",path,"10","13.7803270090931","50707","54665","7"
"187",path,"10","122.474257206735","58397","696","6.333333"
"188",path,"10","95.9914170761562","58397","705","6.5"
"189",path,"10","10.6626462611894","52633","705","7"
"190",path,"10","49.4174392394622","52633","712","7"
"191",path,"10","34.5180839263318","712","716","7"
"192",path,"10","117.296447184861","716","720","6.5"
"193",path,"10","9.62957913953691","720","721","6"
"194",path,"10","94.8959016325271","724","725","6.5"
"195",path,"10","94.8959016325271","58408","724","7"
"196",path,"10","78.1139892127137","46669","51385","6.666667"
"197",path,"10","5.80303879367079","46669","735","7"
"198",path,"10","15.5668765536665","50071","745","7"
"199",path,"10","29.7168529844578","745","750","6.5"
"200",path,"10","28.7552789520442","750","753","6"
"201",path,"10","21.6485637365769","753","758","6.5"
"202",path,"10","33.2882825799598","758","760","7"
"203",path,"10","4.54011105924452","760","761","7"
"205",path,"10","4.51247163226552","59677","59692","6"
"206",path,"10","26.244470429331","59665","59692","6.5"
"207",path,"10","4.75673656239928","59640","59665","7"
"208",path,"10","12.4465798682714","59637","59640","7"
"209",path,"10","3.11250982758768","46713","59637","7"
"210",path,"10","14.9255261201149","46713","59661","7"
"211",path,"10","6.05729432858697","46697","59661","7"
"212",path,"10","21.138901612712","46697","797","7"
"213",path,"10","14.0864003777771","797","805","7"
"214",path,"10","15.4109813849694","54551","805","7"
"215",path,"10","27.0144490119482","54551","809","7"
"216",path,"10","3.79635796742355","59623","824","7"
"217",path,"10","87.9300990683615","59623","837","6.5"
"218",path,"10","21.1241155682762","824","877","7"
"219",path,"10","6.12144249352781","59625","824","7"
"220",path,"10","17.2822013707347","59629","829","7"
"221",path,"10","13.9726861810268","59629","837","7"
"222",path,"10","13.1130706064276","59625","837","7"
"223",path,"10","25.5556171104737","841",CXB-203_D018 _05,"6.5"
"224",path,"10","25.5556171104737","844",CXB-203_D018 _05,"7"
"225",path,"10","31.7540205401249","845","848","6.5"
"226",path,"10","117.690339924442","51476","849","6.5"
"227",path,"10","35.7783220249712","51484","857","6.5"
"228",path,"10","50.8571255295178","857",CXB-203_D018 _06,"7"
"229",path,"10","50.8571255295178","861",CXB-203_D018 _06,"7"
"230",path,"10","20.1991168006543","46687","59581","6"
"231",path,"10","5.27495175930861","46687","59504","6"
"232",path,"10","39.0557985495622","59504","877","6.5"
"233",path,"10","54.7054710442402","877","880","6.5"
"234",path,"10","10.1277580386323","46693","880","6.5"
"235",path,"10","3.3363762397274","46693","845","6"
"236",path,"10","20.6846119610211","845",HF_409,"6.5"
"237",path,"10","20.6846119610211","893",HF_409,"7"
"238",path,"10","7.92885105836054","841","893","6.5"
"239",path,"10","52.982148612481","51473","841","6"
"240",path,"10","37.197947193387","51473","909","6"
"241",path,"10","35.9490343853495","908","909","6"
"242",path,"10","32.2789488472657","59741","912","6.5"
"243",path,"10","7.05735886106416","59741","59747","6"
"244",path,"10","9.38755880790567","59737","59747","6"
"245",path,"10","10.1972669468845","59561","59737","6"
"246",path,"10","7.27288298854112","59561","59572","6"
"247",path,"10","9.84671134723182","59572","59581","6"
"248",path,"10","78.8098672497169","59581","940","6.5"
"249",path,"10","11.2782136910442","59537","940","6.5"
"250",path,"10","9.85401632054721","59537","948","6"
"251",path,"10","22.9308764527608","948",CXB-203_D018 _07,"6.5"
"252",path,"10","9.55208401374162","59528",CXB-203_D018 _07,"7"
"253",path,"10","15.3310349331704","59528","960","7.5"
"254",path,"10","2.0346879812331","59485","960","8"
"255",path,"10","5.82344798880787","59485","965","8"
"256",path,"10","53.9841083537693","50069","969","6"
"257",path,"10","16.8213960535345","50069","978","6.5"
"258",path,"10","6.63004842924657","977","978","7"
"259",path,"10","2.73686112335001","980","984","6"
