fid,fid_new1,fclass,name,maxspeed,length,combined_id_min,combined_id_max,DN_mean,time_needed (min)
"1","1",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","56.4771684920056","4","63240","7.5","0.338863010952034"
"2","2",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","80.8439655029449","4",CXB-203_A015 _03,"7.333333","0.48506379301767"
"3","3",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","74.0342143749055","12",CXB-203_A015 _03,"6.333333","0.444205286249433"
"4","4",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","24.4589764859059","12","54377","6.5","0.146753858915435"
"5","5",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","82.9021014573456","25","54377","7","0.497412608744073"
"6","6",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","13.5329984737138","25","28","7","0.0811979908422825"
"7","7",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","62.0408431139795","28","29","6.5","0.372245058683877"
"8","8",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","6.96169309159056","29","31","6","0.0417701585495433"
"9","9",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","53.7693021133813","31","41","6.5","0.322615812680288"
"10","10",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","31.4691497135831","41","45","7","0.188814898281499"
"11","11",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","35.0113726578211","45","48","6.5","0.210068235946927"
"12","12",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","9.11313743902357","48","53","6","0.0546788246341414"
"13","13",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","95.0656035500846","53","56","6.5","0.570393621300508"
"14","14",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","28.5878506516579","56","61","7.5","0.171527103909947"
"15","15",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","84.3525751154154","61","65","7","0.506115450692493"
"16","16",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","46.4896657807778","399","65","6","0.278937994684667"
"17","17",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","81.9402616696067","399","72","6.333333","0.49164157001764"
"18","18",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","55.2749649448222","72","77","6.5","0.331649789668933"
"19","19",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","10.862344072129","77","81","7","0.0651740644327742"
"20","20",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","122.495781870243","81","84","6.5","0.734974691221456"
"21","21",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","81.9607318998175","46405","84","6","0.491764391398905"
"22","22",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","98.5394576951339","46405","51032","6.5","0.591236746170803"
"23","23",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","116.522472675854","51032","51039","6","0.699134836055125"
"24","24",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","37.2491241192916","46413","51039","6","0.22349474471575"
"25","25",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","41.7899779068132","46413","48735","6","0.250739867440879"
"26","26",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","16.3833870280868","108","48735","6.5","0.0983003221685208"
"27","27",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","20.0869573981112","108","48219","7","0.120521744388667"
"28","28",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","147.558464987994","48219","516","7","0.885350789927965"
"29","29",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","223.707228721168","493","516","6","1.34224337232701"
"31","31",path,,"10","197.751743512317","121","123","6.666667","1.1865104610739"
"32","32",unclassified,,"10","94.5866661865454","127","580","6.5","0.567519997119272"
"33","33",unclassified,,"10","49.1347648061872","580","581","6.666667","0.294808588837123"
"34","34",unclassified,,"10","97.941824248216","140","581","6.5","0.587650945489296"
"35","35",unclassified,,"10","86.6733305729799","140","145","6.5","0.52003998343788"
"36","36",unclassified,,"10","50.9435057510104","145","584","7.5","0.305661034506063"
"37","37",unclassified,,"10","119.043384243203","152","584","6.5","0.714260305459215"
"38","38",unclassified,,"10","133.283445023619","152","156","6","0.799700670141714"
"39","39",unclassified,,"10","25.1717497552641","156","157","6.5","0.151030498531584"
"40","40",unclassified,,"10","107.932646718088","157","159","6","0.647595880308529"
"41","41",unclassified,,"10","211.360810253471","159","168","6.5","1.26816486152083"
"42","42",unclassified,,"10","174.276190170496","167","168","6","1.04565714102297"
"43","43",unclassified,,"10","227.778549143539","199","31","6","1.36667129486123"
"45","45",path,,"10","279.092395483549","108","181","6.4","1.67455437290129"
"46","46",path,,"10","52.1215870278369","181","185","6","0.312729522167021"
"47","47",path,,"10","76.3287249832547","185","190","6.333333","0.457972349899528"
"48","48",path,,"10","85.9441458356534","190","192","6","0.51566487501392"
"49","49",path,,"10","238.221321852727","192","51035","7.5","1.42932793111636"
"50","50",path,,"10","124.32224908071","192","220","6.5","0.745933494484263"
"51","51",residential,,"10","113.00166932921","199","204","6","0.678010015975262"
"52","52",residential,,"10","16.2042444423115","204","209","6","0.097225466653869"
"53","53",residential,,"10","205.033836913922","209","3483","6.5","1.23020302148353"
"56","56",unclassified,,"10","158.871254712606","217","221","6","0.953227528275637"
"57","57",unclassified,,"10","103.175166671601","220","221","6","0.619051000029603"
"59","59",path,,"10","20.1340683692828","228","229","6","0.120804410215697"
"60","60",path,,"10","151.061493437894","229","236","6","0.906368960627366"
"61","61",path,,"10","122.612579759417","236","84","6","0.735675478556502"
"62","62",path,,"10","71.6973295626884","239","51545","6.5","0.43018397737613"
"63","63",path,,"10","86.2149947663835","249","51545","6.5","0.517289968598301"
"64","64",path,,"10","136.388850876951","248","249","6.5","0.818333105261706"
"65","65",path,,"10","136.388850876951","248","45901","6","0.818333105261706"
"66","66",path,,"10","130.713812072937","45901",CXB-201_E005 _04,"6","0.784282872437622"
"67","67",path,,"10","130.713812072937","262",CXB-201_E005 _04,"7","0.784282872437622"
"68","68",path,,"10","98.6145814398288","261","262","8","0.591687488638973"
"69","69",tertiary,Ukhiya-Balukhali Road,"10","62.4816070013132","2749","51127","6","0.374889642007879"
"70","70",tertiary,Ukhiya-Balukhali Road,"10","210.90467108171","2749","47151","6.5","1.26542802649026"
"72","72",unclassified,,"10","34.0882447406688","276","280","8","0.204529468444013"
"73","73",unclassified,,"10","103.742996472494","280",CXB-201_G007 _01,"7","0.622457978834965"
"74","74",unclassified,,"10","103.742996472494","284",CXB-201_G007 _01,"6","0.622457978834965"
"75","75",unclassified,,"10","77.2178226298537","284",CXB-201_G007 _02,"6.5","0.463306935779122"
"76","76",unclassified,,"10","77.2178226298537","292",CXB-201_G007 _02,"6.666667","0.463306935779122"
"77","77",unclassified,,"10","42.3248478970898","292","296","7","0.253949087382539"
"78","78",unclassified,,"10","61.6847763705121","296",HF_255,"6.5","0.370108658223072"
"79","79",unclassified,,"10","61.6847763705121","52565",HF_255,"6","0.370108658223072"
"80","80",path,,"10","10.3509080306537","301","305","6","0.0621054481839225"
"81","81",path,,"10","81.5640407890636","305","309","6.5","0.489384244734382"
"82","82",path,,"10","99.5221732664103","309","314","6.5","0.597133039598462"
"83","83",path,,"10","18.1404472027974","313","314","6","0.108842683216784"
"84","84",path,,"10","9.94381904609172","321","49225","6.5","0.0596629142765503"
"85","85",path,,"10","62.9906600722173","321","324","6.5","0.377943960433304"
"86","86",path,,"10","29.7147820912318","324","325","6","0.178288692547391"
"87","87",path,,"10","48.0426127961179","329","332","6.5","0.288255676776708"
"88","88",path,,"10","10.9150052850917","332","336","7","0.0654900317105504"
"89","89",path,,"10","17.6472073361892","336","340","7","0.105883244017135"
"90","90",path,,"10","25.7870925350218","340","344","6.5","0.154722555210131"
"91","91",path,,"10","18.435879439966","344","349","6","0.110615276639796"
"92","92",path,,"10","33.041595037735","349","351","6.5","0.19824957022641"
"93","93",path,,"10","49.2280137043692","353","357","6","0.295368082226215"
"94","94",path,,"10","30.2023429232611","329","357","6","0.181214057539566"
"95","95",path,,"10","7.23625354253797","363","368","6","0.0434175212552278"
"96","96",path,,"10","74.1548533223843","329","368","6","0.444929119934306"
"97","97",path,,"10","20.3362544789466","372","376","6","0.122017526873679"
"98","98",path,,"10","61.0466920698409","376","381","6","0.366280152419046"
"99","99",path,,"10","11.2165743024354","380","381","6","0.0672994458146125"
"100","100",path,,"10","8.4640130883636","380","388","6","0.0507840785301816"
"101","101",path,,"10","32.333944205771","388","392","6.5","0.194003665234626"
"102","102",path,,"10","16.9744279720637","392",CXB-204_A020 _07,"7","0.101846567832382"
"103","103",path,,"10","16.9744279720637","353",CXB-204_A020 _07,"6.5","0.101846567832382"
"104","104",residential,,"10","37.8716515626761","399","52420","6","0.227229909376057"
"105","105",residential,,"10","4.0896780628608","408","52420","6","0.0245380683771648"
"106","106",residential,,"10","98.0378131648674","408","50729","7","0.588226878989204"
"107","107",residential,,"10","16.7732115255766","412","50729","7","0.100639269153459"
"108","108",residential,,"10","138.13219853331","412","46460","6","0.828793191199857"
"109","109",residential,,"10","23.2138379832732","425","46460","6.5","0.139283027899639"
"110","110",residential,,"10","47.7132596178089","425","428","7","0.286279557706854"
