fid,fid_new1,fclass,name,maxspeed,length,combined_id_min,combined_id_max,DN_mean
"1","1",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","56.4771684920056","4","63240","7.5"
"2","2",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","80.8439655029449","4",CXB-203_A015 _03,"7.333333"
"3","3",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","74.0342143749055","12",CXB-203_A015 _03,"6.333333"
"4","4",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","24.4589764859059","12","54377","6.5"
"5","5",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","82.9021014573456","25","54377","7"
"6","6",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","13.5329984737138","25","28","7"
"7","7",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","62.0408431139795","28","29","6.5"
"8","8",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","6.96169309159056","29","31","6"
"9","9",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","53.7693021133813","31","41","6.5"
"10","10",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","31.4691497135831","41","45","7"
"11","11",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","35.0113726578211","45","48","6.5"
"12","12",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","9.11313743902357","48","53","6"
"13","13",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","95.0656035500846","53","56","6.5"
"14","14",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","28.5878506516579","56","61","7.5"
"15","15",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","84.3525751154154","61","65","7"
"16","16",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","46.4896657807778","399","65","6"
"17","17",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","81.9402616696067","399","72","6.333333"
"18","18",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","55.2749649448222","72","77","6.5"
"19","19",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","10.862344072129","77","81","6.5"
"20","20",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","122.495781870243","81","84","6.5"
"21","21",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","81.9607318998175","46405","84","6"
"22","22",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","98.5394576951339","46405","51032","6.5"
"23","23",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","116.522472675854","51032","51039","6"
"24","24",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","37.2491241192916","46413","51039","6"
"25","25",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","41.7899779068132","46413","48735","6"
"26","26",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","16.3833870280868","108","48735","6.5"
"27","27",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","20.0869573981112","108","48219","7.5"
"28","28",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","147.558464987994","48219","516","7"
"29","29",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","223.707228721168","493","516","6"
"30","30",trunk,কক্সবাজার-টেকনাফ সড়ক,"10","3765.82759862222","493","493",
"31","31",path,,"10","197.751743512317","121","123","7.2"
"32","32",unclassified,,"10","94.5866661865454","127","580","6.5"
"33","33",unclassified,,"10","49.1347648061872","580","581","6.5"
"34","34",unclassified,,"10","97.941824248216","140","581","6.5"
"35","35",unclassified,,"10","86.6733305729799","140","145","6.5"
"36","36",unclassified,,"10","50.9435057510104","145","584","7.5"
"37","37",unclassified,,"10","119.043384243203","152","584","7"
"38","38",unclassified,,"10","133.283445023619","152","156","6"
"39","39",unclassified,,"10","25.1717497552641","156","157","6.5"
"40","40",unclassified,,"10","107.932646718088","157","159","6"
"41","41",unclassified,,"10","211.360810253471","159","168","6.5"
"42","42",unclassified,,"10","174.276190170496","167","168","6"
"43","43",unclassified,,"10","227.778549143539","199","31","6"
"44","44",unclassified,,"10","3130.04810015679","199","199","6.833333"
"45","45",path,,"10","279.092395483549","108","181","6.5"
"46","46",path,,"10","52.1215870278369","181","185","6.5"
"47","47",path,,"10","76.3287249832547","185","190","6.333333"
"48","48",path,,"10","85.9441458356534","190","192","6"
"49","49",path,,"10","238.221321852727","192","51035","7.5"
"50","50",path,,"10","124.32224908071","192","220","6.5"
"51","51",residential,,"10","113.00166932921","199","204","6"
"52","52",residential,,"10","16.2042444423115","204","209","6"
"53","53",residential,,"10","205.033836913922","209","3483","6.5"
"54","54",residential,,"10","439.916277190486","3483","3483","6"
"55","55",unclassified,,"10","410.918541216604","217","217","6.666667"
"56","56",unclassified,,"10","158.871254712606","217","221","6"
"57","57",unclassified,,"10","103.175166671601","220","221","6"
"58","58",path,,"10","82.418633318563","228","228","6"
"59","59",path,,"10","20.1340683692828","228","229","6"
"60","60",path,,"10","151.061493437894","229","236","6"
"61","61",path,,"10","122.612579759417","236","84","6"
"62","62",path,,"10","71.6973295626884","239","51545","6.5"
"63","63",path,,"10","86.2149947663835","249","51545","6.5"
"64","64",path,,"10","136.388850876951","248","249","6.5"
"65","65",path,,"10","136.388850876951","248","45901","6"
"66","66",path,,"10","130.713812072937","45901",CXB-201_E005 _04,"6"
"67","67",path,,"10","130.713812072937","262",CXB-201_E005 _04,"7"
"68","68",path,,"10","98.6145814398288","261","262","7.833333"
"69","69",tertiary,Ukhiya-Balukhali Road,"10","62.4816070013132","2749","51127","6"
"70","70",tertiary,Ukhiya-Balukhali Road,"10","210.90467108171","2749","47151","6.5"
"71","71",tertiary,Ukhiya-Balukhali Road,"10","1849.15719612851","47151","47151","6.5"
"72","72",unclassified,,"10","34.0882447406688","276","280","7.5"
"73","73",unclassified,,"10","103.742996472494","280",CXB-201_G007 _01,"7"
"74","74",unclassified,,"10","103.742996472494","284",CXB-201_G007 _01,"6.5"
"75","75",unclassified,,"10","77.2178226298537","284",CXB-201_G007 _02,"7"
"76","76",unclassified,,"10","77.2178226298537","292",CXB-201_G007 _02,"6.666667"
"77","77",unclassified,,"10","42.3248478970898","292","296","7"
"78","78",unclassified,,"10","61.6847763705121","296",HF_255,"6.5"
"79","79",unclassified,,"10","61.6847763705121","52565",HF_255,"6"
"80","80",path,,"10","10.3509080306537","301","305","6"
