combined_id_min,combined_id_max,Susceptibi_mean
"4","63240",0
"4",CXB-203_A015 _03,0
"12",CXB-203_A015 _03,0
"12","54377",0
"25","54377",0
"25","28",0
"28","29",0
"29","31",0
"31","41",0
"41","45",0
"45","48",0
"48","53",0
"53","56",0
"56","61",0
"61","65",0
"399","65",0
"399","72",0
"72","77",0
"77","81",0
"81","84",0
"46405","84",0
"46405","51032",0
"51032","51039",0
"46413","51039",0
"46413","48735",0
"108","48735",0
"108","48219",0
"48219","516",0
"493","516",0
"121","123",0
"127","580",0
"580","581",0
"140","581",0
"140","145",0
"145","584",0
"152","584",0
"152","156",0
"156","157",0
"157","159",0
"159","168",0
"167","168",0
"199","31",0
"108","181",0
"181","185",0
"185","190",0
"190","192",0
"192","51035",0
"192","220",0
"199","204",0
"204","209",0
"209","3483",0
"217","221",0
"220","221",0
"228","229",0
"229","236",0
"236","84",0
"239","51545",0
"249","51545",0
"248","249",0
"248","45901",0
"45901",CXB-201_E005 _04,0
"262",CXB-201_E005 _04,0
"261","262",0
"2749","51127",0
"2749","47151",0
"276","280",0
"280",CXB-201_G007 _01,0
"284",CXB-201_G007 _01,0
"284",CXB-201_G007 _02,0
"292",CXB-201_G007 _02,0
"292","296",0
"296",HF_255,0
"52565",HF_255,0
"301","305",0
"305","309",0.11131
"309","314",0.11131
"313","314",0.11131
"321","49225",0
"321","324",0
"324","325",0
"329","332",0
"332","336",0
"336","340",0
"340","344",0
"344","349",0.058192
"349","351",0.058192
"353","357",0
"329","357",0
"363","368",0
"329","368",0
"372","376",0
"376","381",0
"380","381",0
"380","388",0
"388","392",0
"392",CXB-204_A020 _07,0
"353",CXB-204_A020 _07,0
"399","52420",0
"408","52420",0
"408","50729",0
"412","50729",0
"412","46460",0
"425","46460",0
"425","428",0
"428","432",0
"432","52436",0
"51539","52436",0
"444","51539",0
"444","45689",0
"453","45689",0
"453","456",0
"456","45699",0
"45693","45699",0
"45693","468",0
"468","473",0
"473","477",0
"476","477",0
"476","479",0
"479","488",0
"488",CXB-201_D004 _04,0
"2553",CXB-201_D004 _04,0
"48732","516",0
"48732","521",0
"525",CXB-201_C003 _01,0
"527",CXB-201_C003 _01,0
"2572","532",0
"532","536",0
"536","540",0
"540","541",0
"541","548",0
"46041","548",0
"46041","553",0
"560","63162",0
"571","572",0
"3049","592",0
"592","596",0
"596","600",0
"600","605",0
"604","605",0
"613","617",0
"617","622",0
"622","629",0
"633","637",0
"676","677",0
"677",CXB-207_D050 _04,0
"681",CXB-207_D050 _04,0
"681","688",0
"54665","688",0
"50707","54665",0
"58397","696",0
"58397","705",0
"52633","705",0
"52633","712",0
"712","716",0
"716","720",0
"720","721",0
"724","725",0
"58408","724",0
"46669","51385",0
"46669","735",0
"50071","745",0.240745
"745","750",0.240745
"750","753",0.240745
"753","758",0.240745
"758","760",0.240745
"760","761",0.240745
"59677","59692",0
"59665","59692",0
"59640","59665",0
"59637","59640",0
"46713","59637",0
"46713","59661",0
"46697","59661",0.112155
"46697","797",0.112155
"797","805",0.112155
"54551","805",0.112155
"54551","809",0.112155
"59623","824",0
"59623","837",0
"824","877",0
"59625","824",0
"59629","829",0
"59629","837",0
"59625","837",0
"841",CXB-203_D018 _05,0.058192
"844",CXB-203_D018 _05,0.085173
"845","848",0.058192
"51476","849",0.05084
"51484","857",0.05084
"857",CXB-203_D018 _06,0.05084
"861",CXB-203_D018 _06,0.05084
"46687","59581",0
"46687","59504",0
"59504","877",0
"877","880",0.058192
"46693","880",0.058192
"46693","845",0.058192
"845",HF_409,0.058192
"893",HF_409,0.058192
"841","893",0.058192
"51473","841",0.05084
"51473","909",0.05084
"908","909",0.05084
"59741","912",0
"59741","59747",0
"59737","59747",0
"59561","59737",0
"59561","59572",0
"59572","59581",0
"59581","940",0
"59537","940",0
"59537","948",0
"948",CXB-203_D018 _07,0.058192
"59528",CXB-203_D018 _07,0.058192
"59528","960",0.058192
"59485","960",0.058192
"59485","965",0.058192
"50069","969",0.240745
"50069","978",0.240745
"977","978",0.240745
"980","984",0.240745
"984","989",0.240745
"988","989",0.240745
"50691","991",0.240745
"1000","991",0
"1000","1005",0
"1005","46680",0
"1009","1012",0.240745
"1012","977",0.240745
"50071","977",0.240745
"1021","59881",0
"59733","59881",0
"1033","59733",0.240745
"1033","980",0.240745
"1037",CXB-204_A020 _02,0
"54120",CXB-204_A020 _02,0
"54120","59507",0
"1049","59507",0
"1049","1053",0
"1053","54472",0
"50087","54472",0
"50087","50095",0
"1072","50095",0
"1072","1073",0
"1073",CXB-203_D018 _01,0
"50073",CXB-203_D018 _01,0
"49192","50073",0
"1089","49192",0
"1089","59557",0
"1097","59557",0
"1097","59823",0
"59823","59841",0
"59841","912",0
"1112","912",0
"1112","52521",0
"1117",CXB-203_C017 _08,0
"1124",CXB-203_C017 _08,0
"1124","49187",0
"1134","2553",0
"1134","1138",0
"1138","1141",0
"1141","1145",0.191386
"1145","1149",0
"1148","1149",0
"1148","1157",0
"1157","1162",0
"1162","1165",0
"1165","52529",0
"52529",CXB-202_G014 _02,0
"1172",CXB-202_G014 _02,0
"1172","1180",0
"1180","1181",0
"1181","1183",0.17091
"1185","1187",0
"1189",CXB-207_C049 _01,0
"50061",CXB-207_C049 _01,0.240745
"50061","745",0.240745
"1206","2873",0
"1206","1209",0
"1209","54409",0
"49329","54409",0
"1223","50563",0
"1223","3036",0
"1227","3039",0
"1232","3039",0
"1237","3060",0
"1237","58225",0
"50563","58225",0
"1245","1246",0
"1245","1251",0
"1260","3077",0
"1260","1264",0
"1264","1265",0
"1265","1272",0
"1272","1276",0
"1276","3729",0
"3729","50593",0
"1285","50589",0
"1285","1292",0
"1292","1296",0
"1296","1300",0
"1300","1304",0
"1304","1309",0
"1309","3077",0
"1311","1537",0
"1311","1321",0
"1320","1321",0.098338
"1320","1324",0.098338
"1329","1332",0
"1332","54673",0
"1338","54673",0
"1341","49976",0
"1348","46727",0.112155
"46727","49265",0.112155
"49265","59863",0.112155
"1364","59863",0
"1364","49260",0
"1372","49260",0
"1372","1373",0
"1373","1381",0
"1381","49942",0
"1385","848",0.058192
"844","848",0.085173
"52469","844",0.112155
"1400","52469",0.112155
"1400","1405",0.112155
"1405","54547",0.112155
"52481","54547",0.077821
"52481","908",0.077821
"1429","3161",0
"1429","1432",0
"1432","1437",0
"1436","1437",0
"1436","1439",0.043488
"1439","1449",0.053265
"1448","1449",0.053265
"51600","51601",0
"1461","51601",0
"1461","51605",0
"51605","51608",0
"1468","51608",0
"1553",CXB-208_C045 _04,0
"1476",CXB-208_C045 _04,0
"1476","1480",0
"1480","1484",0
"1484","51875",0
"1493","51875",0
"1493","1495",0
"3161","49044",0
"48373","49044",0
"1509","48373",0.16557
"1509","1513",0.16557
"1513","48977",0.16557
"1524","48977",0
"1524","1528",0
"1528","1529",0
"1529","48276",0
"1537","48276",0
"1537","1545",0
"1545","1552",0
"1552","1553",0
"1553","1557",0
"1557","1564",0
"1564","1565",0
"1565","1567",0.148828
"1567","1577",0.148828
"1577","1581",0.148828
"1581","1587",0.148828
"1587","1593",0.148828
"1593","1596",0.148828
"1596","1602",0.148828
"1602","1605",0.148828
"1605","1610",0.148828
"1610","1614",0.148828
"1614","1618",0.148828
"1618","1621",0.148828
"1621","1626",0.148828
"1626","1629",0
"1628","1629",0
"1628","1637",0
"1637","1642",0
"1642","1645",0
"1644","1645",0
"1649","1652",0.208782
"1652","1657",0.208782
"1657","1660",0
"1660",CXB-207_D050 _05,0
"1662",CXB-207_D050 _05,0
"49448","58401",0
"1672","49448",0
"1672","1676",0
"1676","1681",0
"1681","1684",0
"1684",CXB-207_D050 _07,0
"1688",CXB-207_D050 _07,0
"1688","52581",0
"1693","52581",0
"1695","1697",0
"1695","1705",0
"1705","1709",0
"1709","1714",0
"1714","1776",0
"1717","1776",0
"1720","3412",0
"1724","50603",0
"1724","1728",0
"1728","1732",0
"1732","1736",0
"1736","1740",0
"1740","1744",0
"1744","1749",0
"1749","56707",0
"1756","58325",0
"1756","1757",0
"1757","1761",0
"617","622",0
"1828","2043",0
"1773","1785",0
"1776","1777",0
