FID,OBJECTID,Location,State,Water_Cont,Material,Damae_Int2,Economic,District,ID,Fail_Type,Date,Distri_,Death_,Settlemet_,Dam_Int1,Area,Triggers_
0,1, , , , , , ,Cox's Bazar,1,Flow,2015, ,0,0, ,1020, 
1,2, , , , , , ,Cox's Bazar,2,Flow,2015, ,0,0, ,1433, 
2,3, , , , , , ,Cox's Bazar,3,Flow,2015, ,0,0, ,451, 
3,4, , , , , , ,Cox's Bazar,4,Flow,2015, ,0,0, ,1471, 
4,5, , , , , , ,Cox's Bazar,5,Flow,2015, ,0,0, ,663, 
5,6, , , , , , ,Cox's Bazar,6,Slide,2015, ,0,0, ,1145, 
6,7, , , , , , ,Cox's Bazar,7,Slide,2015, ,0,0, ,1356, 
7,8, , , , , , ,Cox's Bazar,8,Slide,2015, ,0,0, ,1745, 
8,9, , , , , , ,Cox's Bazar,9,Slide,2015, ,0,0, ,993, 
9,10, , , , , , ,Cox's Bazar,10,Slide,2015, ,0,0, ,1683, 
10,11, , , , , , ,Cox's Bazar,11,Complex,2015, ,0,0, ,27623, 
11,12, , , , , , ,Cox's Bazar,12,Slide,2015, ,0,0, ,1587, 
12,13, , , , , , ,Cox's Bazar,13,Slide,2015, ,0,0, ,1562, 
13,14, , , , , , ,Cox's Bazar,14,Slide,2015, ,0,0, ,2143, 
14,15, , , , , , ,Cox's Bazar,15,Unrecognized,2015, ,0,0, ,1019, 
15,16, , , , , , ,Cox's Bazar,16,Flow,2015, ,0,0, ,2666, 
16,17, , , , , , ,Cox's Bazar,17,Unrecognized,2015, ,0,0, ,6540, 
17,18, , , , , , ,Cox's Bazar,18,Slide,2015, ,0,0, ,2008, 
18,19, , , , , , ,Cox's Bazar,19,Unrecognized,2015, ,0,0, ,1888, 
19,20, , , , , , ,Cox's Bazar,20,Unrecognized,2015, ,0,0, ,1391, 
20,21, , , , , , ,Cox's Bazar,21,Unrecognized,2015, ,0,0, ,1896, 
21,22, , , , , , ,Cox's Bazar,22,Unrecognized,2015, ,0,0, ,3619, 
22,23, , , , , , ,Cox's Bazar,23,Slide,2015, ,0,0, ,2588, 
23,24, , , , , , ,Cox's Bazar,24,Slide,2015, ,0,0, ,1971, 
24,25, , , , , , ,Cox's Bazar,25,Unrecognized,2015, ,0,0, ,2648, 
25,26, , , , , , ,Cox's Bazar,26,Unrecognized,2015, ,0,0, ,4915, 
26,27, , , , , , ,Cox's Bazar,27,Unrecognized,2015, ,0,0, ,2659, 
27,28, , , , , , ,Cox's Bazar,28,Unrecognized,2015, ,0,0, ,1464, 
28,29, , , , , , ,Cox's Bazar,29,Slide,2015, ,0,0, ,2255, 
29,30, , , , , , ,Cox's Bazar,30,Slide,2015, ,0,0, ,1604, 
30,31, , , , , , ,Cox's Bazar,31,Slide,2015, ,0,0, ,631, 
31,32, , , , , , ,Cox's Bazar,32,Flow,2015, ,0,0, ,2285, 
32,33, , , , , , ,Cox's Bazar,33,Slide,2015, ,0,0, ,12488, 
33,34, , , , , , ,Cox's Bazar,34,Flow,2015, ,0,0, ,2233, 
34,35, , , , , , ,Cox's Bazar,35,Flow,2015, ,0,0, ,2231, 
35,36, , , , , , ,Cox's Bazar,36,Flow,2015, ,0,0, ,2236, 
36,37, , , , , , ,Cox's Bazar,37,Slide,2015, ,0,0, ,752, 
37,38, , , , , , ,Cox's Bazar,38,Unrecognized,2015, ,0,0, ,2379, 
38,39, , , , , , ,Cox's Bazar,39,Unrecognized,2015, ,0,0, ,1219, 
39,40, , , , , , ,Cox's Bazar,40,Unrecognized,2015, ,0,0, ,334, 
40,41, , , , , , ,Cox's Bazar,41,Unrecognized,2015, ,0,0, ,684, 
41,42, , , , , , ,Cox's Bazar,42,Unrecognized,2015, ,0,0, ,3643, 
42,43, , , , , , ,Cox's Bazar,43,Slide,2015, ,0,0, ,5480, 
43,44, , , , , , ,Cox's Bazar,44,Flow,2015, ,0,0, ,3082, 
44,45, , , , , , ,Cox's Bazar,45,Flow,2015, ,0,0, ,1533, 
45,46, , , , , , ,Cox's Bazar,46,Slide,2015, ,0,0, ,611, 
46,47,Adorsha Gram,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,47,Fall,13/06/2010, ,0,1,Medium,-,Rainfall and Hill Cutting
47,48,Adorsha Gram,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,48,Fall,13/06/2010, ,0,3,High,-,Rainfall and Hill Cutting
48,49,Adorsha Gram,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,49,Flow,13/06/2010,Advancing,0,1,Medium,-,Rainfall and Hill Cutting
49,50,Adorsha Gram,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,50,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
50,51,Adorsha Gram,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,51,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
51,52,South Ganar Ghona,Suspended, ,Soil,Nil,Low,Cox's Bazar,52,Flow,14/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
52,53,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,53,Flow,14/06/2010,Advancing,1,0,Nil,-,Rainfall and Hill Cutting
53,54,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,54,Flow,14/06/2010,Advancing,1,0,Nil,-,Rainfall and Hill Cutting
54,55,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,55,Slide,06/06/2008,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
55,56,South Ganar Ghona,Suspended, ,Soil,Nil,Low,Cox's Bazar,56,Slide,14/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting
56,57,Kolatali by Pass,Suspended, ,Soil,Nil,Low,Cox's Bazar,57,Slide,14/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting
57,58,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,58,Flow,06/06/2008,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
58,59,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,59,Slide,06/06/2008,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
59,60,Kolatali by pass,Suspended, ,Soil,Nil,Low,Cox's Bazar,60,Slide,14/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting
60,61,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,61,Flow,06/06/2008,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
61,62,Kolatali by pass,Suspended, ,Soil,Nil,Low,Cox's Bazar,62,Flow,14/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
62,63,Kolatali by pass,Suspended, ,Soil,Nil,Low,Cox's Bazar,63,Slide,14/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
63,64,West Lar Para,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,64,Slide,15/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting
64,65,West Lar Para,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,65,Flow,15/06/2003,Advancing,0,1,Low,-,Rainfall and Hill Cutting
65,66,West Lar Para,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,66,Slide,15/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting
66,67,West Lar Para,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,67,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
67,68,West Lar Para,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,68,Flow,15/06/2010, ,0,0,Nil,-,Rainfall and Hill Cutting
68,69,West Lar Para,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,69,Fall,15/06/2010, ,0,0,Nil,-,Rainfall and Hill Cutting
69,70,West Lar Para,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,70,Fall,15/06/2010, ,0,0,Nil,-,Rainfall and Hill Cutting
70,71,West Lar Para,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,71,Complex,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
71,72,Larpara,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,72,Slide,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
72,73,Larpara,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,73,Fall,15/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting
73,74,Larpara,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,74,Flow,15/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting
74,75,Larpara,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,75,Flow,03/07/2008,Advancing,0,1,Low,-,Rainfall and Hill Cutting
75,76,South Dikkul,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,76,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
76,77,South Dikkul,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,77,Flow,19/06/2009,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
77,78,South Hajipara,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,78,Slide,03/07/2008,Advancing,0,2,High,-,Rainfall and Hill Cutting
78,79,South Hajipara,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,79,Slide,04/06/2006,Advancing,0,1,Low,-,Rainfall and Hill Cutting
79,80,South Hajipara,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,80,Flow,15/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting
80,81,South Hajipara,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,81,Flow,04/07/2004,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
81,82,South Hajipara,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,82,Slide,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
82,83,South Hajipara,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,83,Slide,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting
83,84,Badshar Ghona,Suspended, ,Soil,Nil,Low,Cox's Bazar,84,Slide,15/06/2010,Advancing,0,1,Low,-,Rainfall
84,85,Badshar Ghona,Suspended, ,Soil,Nil,Low,Cox's Bazar,85,Slide,15/06/2010,Advancing,0,1,Low,-,Rainfall
85,86,East Light House Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,86,Unrecognized,15/06/2010,Advancing,1,1,Low,-,Rainfall
86,87,East Light House Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,87,Unrecognized,03/07/2008,Advancing,0,1,Low,-,Rainfall
87,88,East Light House Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,88,Unrecognized,15/06/2010,Advancing,0,1,Low,-,Rainfall
88,89,East Light House Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,89,Unrecognized,15/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting
