Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,,,,,,,,,,,,,,,
1,20,21.195371,92.137819,13.00,2020,40,60,19.0,24.0,19.0,13.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
2,20,21.195408,92.137881,3.80,2020,24,35,12.0,8.3,6.1,3.8,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
3,20,21.195109,92.138158,3.50,2020,22,30,10.0,10.0,8.0,3.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
4,20,21.195077,92.137940,8.00,2020,22,30,11.0,15.0,12.0,4.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
5,20,21.191602,92.137920,6.00,2019,30,40,18.0,16.0,13.0,6.0,Soil or Earth,Slide,Stabilized,Confined,Successive,,,,,,,,,,,,,,,
6,20,21.191094,92.139632,5.00,2020,28,35,18.0,17.0,14.0,5.0,Soil or Earth,Slide,Stabilized,Confined,Successive,,,,,,,,,,,,,,,
7,20,21.187980,92.137061,1.00,2020,28,60,19.5,5.6,2.0,1.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
8,20,21.187687,92.137115,6.00,2020,18,42,13.5,15.0,8.9,6.0,Soil or Earth,Slide,Active,Enlarging,Successive,,,,,,,,,,,,,,,
9,20,21.186969,92.137313,8.00,2020,36,62,7.7,12.0,10.5,8.0,Soil or Earth,Slide,Active,Enlarging,Successive,,,,,,,,,,,,,,,
10,20,21.187229,92.136547,8.00,2020,24,44,30.0,18.0,15.0,8.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
11,20,21.191466,92.141624,2.00,2020,24,50,18.7,7.0,3.0,2.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
12,20,21.191315,92.139878,6.00,2020,30,45,14.0,11.0,9.0,6.0,Soil or Earth,Slide,Dormant ,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
13,4,21.205852,92.141338,4.50,2020,26,40,16.3,8.7,7.5,4.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
14,4,21.204411,92.140678,4.50,2020,45,65,7.7,6.8,5.7,4.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
15,4,21.204197,92.141095,5.00,2020,22,50,7.0,12.5,9.1,5.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
16,4,21.204150,92.140843,6.00,2020,22,32,10.6,18.4,14.0,6.0,Soil or Earth,Slide,Dormant ,Advancing,Successive,,,,,,,,,,,,,,,
17,4,21.204701,92.142285,4.00,2020,22,42,12.6,7.5,5.3,4.0,Soil or Earth,Slide,Dormant ,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
