Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins
1,20,21.195371,92.137819,13.0,2020,40,60,19.0,24.0,19.0,13.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.33711572160957,6.41938106676981,6.523277689474792,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,22.0,161.0
2,20,21.195408,92.137881,3.8,2020,24,35,12.0,8.300000000000002,6.1,3.8,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.33711572160957,7.623501017172444,7.727397639588536,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.0,161.0
3,20,21.195109,92.138158,3.5,2020,22,30,10.0,10.0,8.0,3.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.41938106676981,6.523277689474792,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,25.0,161.0
4,20,21.195077,92.13794,8.0,2020,22,30,11.0,15.0,12.0,4.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,25.0,161.0
5,20,21.191602,92.13792,6.0,2019,30,40,18.0,16.0,13.0,6.0,Soil or Earth,Slide,Stabilized,Confined,Successive,6.513206959163058,6.595472304323296,6.69936893768308,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,23.0,161.0
6,20,21.191094,92.139632,5.0,2020,28,35,18.0,17.0,14.0,5.0,Soil or Earth,Slide,Stabilized,Confined,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.050035476684567,161.0
7,20,21.18798,92.137061,1.0,2020,28,60,19.5,5.6,2.0,1.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,26.0,161.0
8,20,21.187687,92.137115,6.0,2020,18,42,13.5,15.0,8.9,6.0,Soil or Earth,Slide,Active,Enlarging,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,27.0,161.0
9,20,21.186969,92.137313,8.0,2020,36,62,7.7,12.0,10.5,8.0,Soil or Earth,Slide,Active,Enlarging,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,6.0,1322.194580078125,1597.94091796875,2029.8190917968752,23.0,161.0
10,20,21.187229,92.136547,8.0,2020,24,44,30.0,18.0,15.0,8.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.33711572160957,6.41938106676981,6.523277689474792,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,161.0
11,20,21.191466,92.141624,2.0,2020,24,50,18.7,7.0,3.0,2.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.0,161.0
12,20,21.191315,92.139878,6.0,2020,30,45,14.0,11.0,9.0,6.0,Soil or Earth,Slide,Dormant,"Advancing, Enlarging",Successive,6.33711572160957,6.118351071105828,6.22224769381081,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.0,161.0
13,4,21.205852,92.141338,4.5,2020,26,40,16.3,8.7,7.5,4.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.33711572160957,6.41938106676981,6.523277689474792,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0
14,4,21.204411,92.140678,4.5,2020,45,65,7.7,6.8,5.7,4.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,6.0,1322.194580078125,1597.94091796875,2029.8190917968752,26.0,767.0
15,4,21.204197,92.141095,5.0,2020,22,50,7.0,12.5,9.1,5.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,27.0,767.0
16,4,21.20415,92.140843,6.0,2020,22,32,10.6,18.4,14.0,6.0,Soil or Earth,Slide,Dormant,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,27.0,767.0
17,4,21.204701,92.142285,4.0,2020,22,42,12.6,7.5,5.3,4.0,Soil or Earth,Slide,Dormant,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,22.0,767.0
18,4,21.207861,92.14143600000001,4.0,2020,25,43,25.0,8.0,6.0,4.0,Soil or Earth,Slide,Active,Enlarging,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0
19,4 ext,21.208291,92.134621,8.0,2020,22,32,22.5,22.0,12.7,8.0,Soil or Earth,Slide,Stabilized,Enlarging,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0
20,4 ext,21.20694,92.135062,2.0,2020,20,32,8.7,7.9,6.1,2.0,Soil or Earth,Earth Flow,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,2.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.0,767.0
21,4 ext,21.206937,92.134959,2.1,2020,20,32,10.3,6.7,5.2,2.1,Soil or Earth,Earth Flow,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,22.0,767.0
22,4 ext,21.206823,92.136154,2.0,2020,22,34,16.5,8.4,7.3,2.0,Soil or Earth,Earth Flow,Active,Advancing,Successive,6.63814568502026,6.118351071105828,6.22224769381081,2.0,6.0,1322.194580078125,1597.94091796875,2029.8190917968752,20.0,767.0
23,4 ext,21.202571,92.135722,4.5,2020,20,40,15.9,8.6,7.6,4.5,Soil or Earth,Slide,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,7.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0
24,4 ext,21.204248,92.135753,3.5,2020,20,35,7.0,7.0,5.0,3.5,Soil or Earth,Earth Flow,Stabilized,Confined,Successive,6.33711572160957,6.41938106676981,6.523277689474792,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.600425720214844,767.0
25,4 ext,21.203535,92.136858,7.0,2019,35,70,12.0,15.0,10.0,7.0,Soil or Earth,Slide,Stabilized,Advancing,Successive,6.73505571738029,6.817321062540532,6.92121767862152,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.783397674560547,767.0
27,17,21.201641,92.146061,2.5,2020,26,40,7.5,3.7,2.6,1.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,2.0,7.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,767.0
