Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins,Landslide_Occurred
1,20,21.195371,92.137819,13.0,2020,40.0,60.0,19.0,24.0,19.0,13.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.33711572160957,6.41938106676981,6.523277689474792,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,22.0,161.0,1
2,20,21.195408,92.137881,3.8,2020,24.0,35.0,12.0,8.300000000000002,6.1,3.8,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.33711572160957,7.623501017172444,7.727397639588536,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.0,161.0,1
3,20,21.195109,92.138158,3.5,2020,22.0,30.0,10.0,10.0,8.0,3.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.41938106676981,6.523277689474792,2.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,25.0,161.0,1
4,20,21.195077,92.13794,8.0,2020,22.0,30.0,11.0,15.0,12.0,4.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,25.0,161.0,1
5,20,21.191602,92.13792,6.0,2019,30.0,40.0,18.0,16.0,13.0,6.0,Soil or Earth,Slide,Stabilized,Confined,Successive,6.513206959163058,6.595472304323296,6.69936893768308,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,23.0,161.0,1
6,20,21.191094,92.139632,5.0,2020,28.0,35.0,18.0,17.0,14.0,5.0,Soil or Earth,Slide,Stabilized,Confined,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,0.0,1322.194580078125,1597.94091796875,2029.8190917968752,21.050035476684567,161.0,1
7,20,21.18798,92.137061,1.0,2020,28.0,60.0,19.5,5.6,2.0,1.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,26.0,161.0,1
8,20,21.187687,92.137115,6.0,2020,18.0,42.0,13.5,15.0,8.9,6.0,Soil or Earth,Slide,Active,Enlarging,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,27.0,161.0,1
9,20,21.186969,92.137313,8.0,2020,36.0,62.0,7.7,12.0,10.5,8.0,Soil or Earth,Slide,Active,Enlarging,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,6.0,1322.194580078125,1597.94091796875,2029.8190917968752,23.0,161.0,1
10,20,21.187229,92.136547,8.0,2020,24.0,44.0,30.0,18.0,15.0,8.0,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.33711572160957,6.41938106676981,6.523277689474792,1.0,3.0,1322.194580078125,1597.94091796875,2029.8190917968752,24.0,161.0,1
