Landslide_ID,Latitude,Longitude,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins,Landslide_Occurred,intersects_buildings,GLG
78,21.192122,92.157098,6.35282222738114,6.432877268756444,6.53435072142287,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,21.12079620361328,371.0,1,0,H2O
118,21.193512,92.162416,6.35282222738114,6.131847273092464,6.233320725758888,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,23.0,371.0,1,0,H2O
119,21.192761,92.162063,6.653852223045122,6.733907264420426,6.83538071708685,2.0,4.0,1370.8876953125,1648.37841796875,2082.238037109375,19.0,371.0,1,0,H2O
120,21.193661,92.161337,6.528913464934628,6.608968506309932,6.710441948755598,1.0,5.0,1370.8876953125,1648.37841796875,2082.238037109375,22.0,371.0,1,0,H2O
121,21.194492,92.161192,6.051792231717158,6.131847273092464,6.233320725758888,2.0,7.0,1370.8876953125,1648.37841796875,2082.238037109375,24.0,459.0,1,0,H2O
122,21.195348,92.160793,6.750762223151862,6.830817264527166,6.932290723750316,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,19.0,459.0,1,0,H2O
123,21.193158,92.16181700000001,6.051792231717158,6.131847273092464,6.233320725758888,1.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,22.0,371.0,1,0,H2O
126,21.202045,92.159217,6.051792231717158,6.131847273092464,6.233320725758888,1.0,1.0,1370.8876953125,1648.37841796875,2082.238037109375,15.0,459.0,1,0,H2O
158,21.200274,92.160839,6.65385219079183,6.733907232167136,6.835380685363898,1.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,9.462451934814451,459.0,0,0,H2O
166,21.201001,92.157553,6.051792231717158,6.432877268756444,6.53435072142287,2.0,6.0,1370.8876953125,1648.37841796875,2082.238037109375,15.0,459.0,0,0,H2O
170,21.200942,92.162662,6.051792231717158,6.131847273092464,6.233320725758888,1.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,15.0,459.0,0,0,H2O
248,21.199896,92.157643,6.038248472703492,6.12021058852713,6.223774424440022,1.0,1.0,1328.79541015625,1604.7974853515625,2036.9674072265625,12.070759773254396,459.0,0,0,H2O
250,21.202931,92.15805700000001,6.051792231717158,6.131847273092464,6.233320725758888,1.0,6.0,1370.8876953125,1648.37841796875,2082.238037109375,22.0,459.0,0,0,H2O
251,21.201414,92.158747,6.653852223045122,6.733907264420426,6.83538071708685,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,11.0,459.0,0,0,H2O
